Country,Rice
Afghanistan,102
Albania,0
Algeria,0
American Samoa,0
Angola,0
Antigua and Barbuda,0
Argentina,164
Armenia,0
Australia,237
Austria,4
Azerbaijan,99
Bahamas,0
Bahrain,0
Bangladesh,6131
Barbados,0
Belarus,0
Belgium,1
Belize,7
Benin,281
Bhutan,400
Bolivia,25
Bosnia and Herzegovina,0
Botswana,4
Brazil,2010
British Indian Ocean Territory,0
British Virgin Islands,0
Brunei,206
Bulgaria,47
Burkina Faso,768
Burma (former),942
Burundi,165
Cambodia,4625
Cameroon,116
Canada,0
Cape Verde,0
Central African Republic,9
Chad,54
Chile,26
China,9478
Colombia,717
Comoros,0
"Congo, Democratic Republic of the",210
"Congo, Republic of the",2
Cook Islands,0
Costa Rica,36
Cote d'Ivoire,4488
Croatia,0
Cuba,196
Cyprus,0
Czech Republic,0
Czechoslovakia,0
Denmark,0
Djibouti,1
Dominica,1
Dominican Republic,40
Ecuador,65
Egypt,159
El Salvador,99
Equatorial Guinea,0
Eritrea,0
Estonia,0
Ethiopia,9
Falkland Islands (Islas Malvinas),0
Faroe Islands,0
Fiji,33
Finland,0
France,71
French Guiana,2
Gabon,2
"Gambia, The",375
Georgia,22
German Democratic Republic (former),0
Germany,1
Ghana,246
Gibraltar,0
Greece,7
Greenland,0
Grenada,0
Guadeloupe,0
Guam,0
Guatemala,34
Guinea,864
Guinea-Bissau,83
Guyana,111
Haiti,60
Heard and Mc Donald Islands,0
Honduras,12
Hong Kong,23
Hungary,159
Iceland,0
India,16794
Indonesia,10742
Iran,258
Iraq,30
Ireland,0
Israel,0
Italy,442
Jamaica,11
Japan,1958
Jordan,0
Kazakhstan,17
Kenya,266
"Korea, North",6471
"Korea, South",2710
Kyrgyzstan,0
Laos,15445
Latvia,0
Lebanon,0
Lesotho,0
Liberia,1860
Libya (Libyan Arab Jamahiriya),0
Lithuania,0
Luxembourg,0
"Macedonia, Former Yugoslav Republic",4
Madagascar,4035
Malawi,109
Malaysia,4507
Maldives,0
Mali,181
Malta,0
Martinique,0
Mauritania,4
Mauritius,2
Mexico,198
"Micronesia, Federated States of",7
Moldova,0
Monaco,0
Mongolia,4
Montenegro,0
Montserrat,0
Morocco,8
Mozambique,83
Myanmar,2316
Namibia,0
Nepal,3024
Netherlands,14
Netherlands Antilles,0
New Caledonia,0
New Zealand,1
Nicaragua,6
Niger,6
Nigeria,1273
Norfolk Island,0
Northern Mariana Islands,0
Norway,3
Oman,0
Pakistan,3227
Palau,7
"Palestinian territory, occupied",0
Panama,21
Papua New Guinea,24
Paraguay,5
Peru,123
Philippines,8992
Poland,13
Portugal,142
Puerto Rico,76
Reunion,0
Romania,32
Russia,164
Rwanda,2
Saint Helena,0
Saint Kitts and Nevis,0
Saint Lucia,1
Saint Vincent and the Grenadines,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,1
Senegal,1000
Serbia,0
Serbia And Montenegro,0
Serbia and Montenegro,3
Seychelles,0
Sierra Leone,1516
Singapore,0
Slovak Republic,0
Slovenia,0
Solomon Islands,2
Somalia,0
South Africa,3
Soviet Union,68
Spain,94
Sri Lanka,2233
Sudan,16
Suriname,170
Svalbard and Jan Mayen Islands,0
Swaziland,2
Sweden,0
Switzerland,1
Syria,0
Taiwan,6280
Tajikistan,5
Tanzania,671
Thailand,5987
Togo,46
Trinidad and Tobago,0
Tunisia,1
Turkey,214
Turkmenistan,2
Uganda,11
Ukraine,4
United Arab Emirates,0
United Kingdom,0
United States,2072
Unknown,3371
Uruguay,20
Uzbekistan,49
Vanuatu,0
Venezuela,65
Vietnam,4607
Virgin Islands,0
Yemen,0
Yemen Democratic Republic (former),0
Zaire,31
Zambia,95
Zimbabwe,123
